,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,236,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,209,11,20,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,9,110,121,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,12,112,116,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,140,0,10,6,51,15,3,8,7,0,0
9,0,0,0,0,0,0,0,0,3,105,12,36,9,11,23,17,24,0,0
10,0,0,0,0,0,0,0,0,11,22,33,35,15,40,28,36,20,0,0
11,0,0,0,0,0,0,0,0,4,38,33,38,14,23,26,31,33,0,0
12,0,0,0,0,0,0,0,0,46,14,22,9,75,13,28,17,16,0,0
13,0,0,0,0,0,0,0,0,19,10,41,18,16,38,38,33,27,0,0
14,0,0,0,0,0,0,0,0,10,23,32,27,21,37,33,24,33,0,0
15,0,0,0,0,0,0,0,0,17,24,31,26,23,31,23,34,31,0,0
16,0,0,0,0,0,0,0,0,11,25,20,39,16,24,42,29,34,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
